tanggal;bulan;tahun;nilai;nama;kategori
2020-07-01;Juli;2020;57770;Terkonfirmasi (orang);Terkonfirmasi
2020-07-02;Juli;2020;59394;Terkonfirmasi (orang);Terkonfirmasi
2020-07-03;Juli;2020;60695;Terkonfirmasi (orang);Terkonfirmasi
2020-07-04;Juli;2020;62142;Terkonfirmasi (orang);Terkonfirmasi
2020-07-05;Juli;2020;63749;Terkonfirmasi (orang);Terkonfirmasi
2020-07-06;Juli;2020;64958;Terkonfirmasi (orang);Terkonfirmasi
2020-07-07;Juli;2020;66226;Terkonfirmasi (orang);Terkonfirmasi
2020-07-08;Juli;2020;68079;Terkonfirmasi (orang);Terkonfirmasi
2020-07-09;Juli;2020;70736;Terkonfirmasi (orang);Terkonfirmasi
2020-07-10;Juli;2020;72347;Terkonfirmasi (orang);Terkonfirmasi
2020-07-11;Juli;2020;74018;Terkonfirmasi (orang);Terkonfirmasi
2020-07-12;Juli;2020;75699;Terkonfirmasi (orang);Terkonfirmasi
2020-07-13;Juli;2020;76981;Terkonfirmasi (orang);Terkonfirmasi
2020-07-14;Juli;2020;78572;Terkonfirmasi (orang);Terkonfirmasi
2020-07-15;Juli;2020;80094;Terkonfirmasi (orang);Terkonfirmasi
2020-07-16;Juli;2020;81668;Terkonfirmasi (orang);Terkonfirmasi
2020-07-17;Juli;2020;83130;Terkonfirmasi (orang);Terkonfirmasi
2020-07-18;Juli;2020;84882;Terkonfirmasi (orang);Terkonfirmasi
2020-07-19;Juli;2020;86521;Terkonfirmasi (orang);Terkonfirmasi
2020-07-20;Juli;2020;88214;Terkonfirmasi (orang);Terkonfirmasi
2020-07-21;Juli;2020;89869;Terkonfirmasi (orang);Terkonfirmasi
2020-07-22;Juli;2020;91751;Terkonfirmasi (orang);Terkonfirmasi
2020-07-23;Juli;2020;93657;Terkonfirmasi (orang);Terkonfirmasi
2020-07-24;Juli;2020;95418;Terkonfirmasi (orang);Terkonfirmasi
2020-07-25;Juli;2020;97286;Terkonfirmasi (orang);Terkonfirmasi
2020-07-26;Juli;2020;98778;Terkonfirmasi (orang);Terkonfirmasi
2020-07-27;Juli;2020;100303;Terkonfirmasi (orang);Terkonfirmasi
2020-07-28;Juli;2020;102051;Terkonfirmasi (orang);Terkonfirmasi
2020-07-29;Juli;2020;104432;Terkonfirmasi (orang);Terkonfirmasi
2020-07-31;Juli;2020;108376;Terkonfirmasi (orang);Terkonfirmasi
2020-08-01;Agustus;2020;109936;Terkonfirmasi (orang);Terkonfirmasi
2020-08-02;Agustus;2020;111455;Terkonfirmasi (orang);Terkonfirmasi
2020-08-03;Agustus;2020;113134;Terkonfirmasi (orang);Terkonfirmasi
2020-08-04;Agustus;2020;115056;Terkonfirmasi (orang);Terkonfirmasi
2020-08-05;Agustus;2020;116871;Terkonfirmasi (orang);Terkonfirmasi
2020-08-06;Agustus;2020;118753;Terkonfirmasi (orang);Terkonfirmasi
2020-08-07;Agustus;2020;121226;Terkonfirmasi (orang);Terkonfirmasi
2020-08-08;Agustus;2020;123503;Terkonfirmasi (orang);Terkonfirmasi
2020-08-09;Agustus;2020;125396;Terkonfirmasi (orang);Terkonfirmasi
2020-08-10;Agustus;2020;127083;Terkonfirmasi (orang);Terkonfirmasi
2020-08-11;Agustus;2020;128776;Terkonfirmasi (orang);Terkonfirmasi
2020-08-12;Agustus;2020;130718;Terkonfirmasi (orang);Terkonfirmasi
2020-08-13;Agustus;2020;132816;Terkonfirmasi (orang);Terkonfirmasi
2020-08-14;Agustus;2020;135123;Terkonfirmasi (orang);Terkonfirmasi
2020-08-15;Agustus;2020;137468;Terkonfirmasi (orang);Terkonfirmasi
2020-08-16;Agustus;2020;139549;Terkonfirmasi (orang);Terkonfirmasi
2020-08-17;Agustus;2020;141370;Terkonfirmasi (orang);Terkonfirmasi
2020-08-18;Agustus;2020;143043;Terkonfirmasi (orang);Terkonfirmasi
2020-08-19;Agustus;2020;144945;Terkonfirmasi (orang);Terkonfirmasi
2020-08-20;Agustus;2020;147211;Terkonfirmasi (orang);Terkonfirmasi
2020-08-21;Agustus;2020;149408;Terkonfirmasi (orang);Terkonfirmasi
2020-08-22;Agustus;2020;151498;Terkonfirmasi (orang);Terkonfirmasi
2020-08-23;Agustus;2020;153535;Terkonfirmasi (orang);Terkonfirmasi
2020-08-24;Agustus;2020;155412;Terkonfirmasi (orang);Terkonfirmasi
2020-08-25;Agustus;2020;157859;Terkonfirmasi (orang);Terkonfirmasi
2020-08-26;Agustus;2020;160165;Terkonfirmasi (orang);Terkonfirmasi
2020-08-27;Agustus;2020;162884;Terkonfirmasi (orang);Terkonfirmasi
2020-08-28;Agustus;2020;165887;Terkonfirmasi (orang);Terkonfirmasi
2020-08-29;Agustus;2020;169195;Terkonfirmasi (orang);Terkonfirmasi
2020-08-30;Agustus;2020;172053;Terkonfirmasi (orang);Terkonfirmasi
2020-08-31;Agustus;2020;174796;Terkonfirmasi (orang);Terkonfirmasi
2020-02-29;Pebruari;2020;0;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-01;Maret;2020;2;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-02;Maret;2020;0;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-03;Maret;2020;0;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-04;Maret;2020;0;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-05;Maret;2020;2;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-06;Maret;2020;0;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-07;Maret;2020;0;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-08;Maret;2020;2;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-09;Maret;2020;13;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-10;Maret;2020;8;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-11;Maret;2020;7;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-12;Maret;2020;0;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-13;Maret;2020;35;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-14;Maret;2020;27;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-15;Maret;2020;21;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-16;Maret;2020;17;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-17;Maret;2020;38;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-18;Maret;2020;55;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-19;Maret;2020;82;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-20;Maret;2020;60;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-21;Maret;2020;81;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-22;Maret;2020;64;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-23;Maret;2020;65;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-24;Maret;2020;107;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-25;Maret;2020;104;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-26;Maret;2020;103;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-27;Maret;2020;153;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-28;Maret;2020;109;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-29;Maret;2020;130;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-30;Maret;2020;129;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-03-31;Maret;2020;114;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-01;April;2020;149;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-02;April;2020;113;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-03;April;2020;196;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-04;April;2020;106;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-05;April;2020;181;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-06;April;2020;218;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-07;April;2020;247;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-08;April;2020;218;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-09;April;2020;337;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-10;April;2020;219;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-11;April;2020;330;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-12;April;2020;399;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-13;April;2020;316;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-14;April;2020;282;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-15;April;2020;297;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-16;April;2020;380;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-17;April;2020;407;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-18;April;2020;325;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-19;April;2020;327;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
