tanggal;propinsi;nilai;kategori;pulau
2020-03-22;Lampung;0;Kematian;Sumatera
2020-03-22;Riau;0;Kematian;Sumatera
2020-03-22;Maluku;0;Kematian;Maluku
2020-03-22;Papua;0;Kematian;Papua
2020-03-23;Bali;6;Terkonfirmasi;Sunda Kecil
2020-03-23;Banten;56;Terkonfirmasi;Jawa
2020-03-23;Yogyakarta;5;Terkonfirmasi;Jawa
2020-03-23;Jakarta;353;Terkonfirmasi;Jawa
2020-03-23;Jambi;1;Terkonfirmasi;Sumatera
2020-03-23;Jawa Barat;59;Terkonfirmasi;Jawa
2020-03-23;Jawa Tengah;15;Terkonfirmasi;Jawa
2020-03-23;Jawa Timur;41;Terkonfirmasi;Jawa
2020-03-23;Kalimantan Barat;2;Terkonfirmasi;Kalimantan
2020-03-23;Kalimantan Timur;11;Terkonfirmasi;Kalimantan
2020-03-23;Kalimantan Tengah;2;Terkonfirmasi;Kalimantan
2020-03-23;Kalimantan Selatan;1;Terkonfirmasi;Kalimantan
2020-03-23;Kepulauan Riau;5;Terkonfirmasi;Sumatera
2020-03-23;Sulawesi Utara;1;Terkonfirmasi;Sulawesi
2020-03-23;Sumatera Utara;2;Terkonfirmasi;Sumatera
2020-03-23;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-23;Sulawesi Selatan;2;Terkonfirmasi;Sulawesi
2020-03-23;Lampung;1;Terkonfirmasi;Sumatera
2020-03-23;Riau;1;Terkonfirmasi;Sumatera
2020-03-23;Maluku Utara;1;Terkonfirmasi;Maluku
2020-03-23;Maluku;1;Terkonfirmasi;Maluku
2020-03-23;Papua;2;Terkonfirmasi;Papua
2020-03-23;Bali;2;Kematian;Sunda Kecil
2020-03-23;Banten;3;Kematian;Jawa
2020-03-23;Yogyakarta;0;Kematian;Jawa
2020-03-23;Jakarta;29;Kematian;Jawa
2020-03-23;Jambi;0;Kematian;Sumatera
2020-03-23;Jawa Barat;9;Kematian;Jawa
2020-03-23;Jawa Tengah;3;Kematian;Jawa
2020-03-23;Jawa Timur;1;Kematian;Jawa
2020-03-23;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-23;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-23;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-23;Kalimantan Selatan;0;Kematian;Kalimantan
2020-03-23;Kepulauan Riau;0;Kematian;Sumatera
2020-03-23;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-23;Sumatera Utara;1;Kematian;Sumatera
2020-03-23;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-23;Sulawesi Selatan;1;Kematian;Sulawesi
2020-03-23;Lampung;0;Kematian;Sumatera
2020-03-23;Riau;0;Kematian;Sumatera
